date,symbol,signal_time,entry_price,quantity,position_rs,stop_loss,target,rr,strategies_fired,agreeing_count,composite_score,driver_strategy,reason,exit_time,exit_price,exit_reason,result,pnl_rs,pnl_pct,predicted_win_pct,conviction_tier
2026-06-15,GROWW,09:15,200.0969387755102,2498,499842.15,199.46479591836737,205.33469387755102,8.29,"ADX-FILTER,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,GAP-CONT,MACD,ORB-15,PDH-PDL,REL-STR,STOCHASTIC,VOL-SPIKE,VPOC",5,6.709,VPOC,VPOC: breakout above VAH=200.10,13:10,205.33,TARGET_HIT,EXACT_WIN,12344.86,2.47,58.2,STANDARD
2026-06-15,STARHEALTH,09:15,,524.395,953,499748.43,521.6725,535.2849999999999,4.0,"ADX-FILTER,CAMARILLA,FIRST-CANDLE,GAP-CONT,ORB-15,ORB-30,PDH-PDL,SR-BREAK,STOCHASTIC,VPOC",4,3.047,CAMARILLA,CAMARILLA: breakout above H4=524.39,15:15,528.15,TIME_EXIT,WIN,2847.11,0.57,49.6,STANDARD
2026-06-16,DIXON,09:10,09:35,11933.0,12206.0,26,317356.0,11445.15,13777.0,2.06,"ADX-FILTER,ASC-TRI,DAILY-BIAS,DBL-BTM,EMA-CROSS,FIRST-CANDLE,MACD,ORB-15,PDH-PDL,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",4,3.481,ASC-TRI,Ascending Triangle: breakout above resistance 11802.00,15:15,12206.0,TIME_EXIT,LOSS,-479.89,-0.15,48.5,STANDARD
2026-06-17,CARTRADE,09:15,09:55,2387.75,2606.0,191,497746.0,2577.12,2721.5,4.0,"ADX-FILTER,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,GAP-CONT,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,VPOC",4,4.109,CAMARILLA,CAMARILLA: breakout above H4=2387.75,13:18,2721.5,TARGET_HIT,EXACT_WIN,21317.2,4.28,49.8,STANDARD
2026-06-18,MFSL,09:25,09:55,1636.234693877551,1657.0,301,498757.0,1655.87,1675.83,16.66,"ADX-FILTER,CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,VPOC",4,3.506,VPOC,VPOC: breakout above VAH=1636.23,12:06,1675.83,TARGET_HIT,EXACT_WIN,4936.13,0.99,49.5,STANDARD
2026-06-19,CRAFTSMAN,09:15,09:55,9546.25,9790.0,51,499290.0,9786.5,9797.0,2.0,"ADX-FILTER,CAMARILLA,CPR,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,SUPERTREND,VPOC",4,4.006,CPR,"CPR: narrow CPR, breakout above TC=9546.25",09:55,9797.0,TARGET_HIT,EXACT_WIN,-371.22,-0.07,48.9,STANDARD
2026-06-22,PATANJALI,09:30,09:55,422.3475,420.95,1187,499667.65,422.3,418.25,2.0,"ADX-FILTER,CAMARILLA,DAILY-BIAS,FAILED-BO,FIRST-CANDLE,ORB-15,ORB-30,PIN-BAR,REL-STR,SR-BREAK,SUPERTREND,VPOC",5,34.5,CAMARILLA,"CAMARILLA: reversal at H3=422.35, target L3=419.65",12:08,418.25,TARGET_HIT,EXACT_WIN,-3930.82,-0.79,48.0,STANDARD
2026-06-23,KIRLOSENG,09:15,09:50,2494.1900000000005,2557.6,195,498732.0,2505.4,2766.38,4.0,"ADX-FILTER,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,GAP-CONT,PDH-PDL,REL-STR,VOL-SPIKE,VPOC,VWAP-REV",4,11.169,CAMARILLA,CAMARILLA: breakout above H4=2494.19,11:46,2505.4,STOP_HIT,LOSS,-10898.12,-2.19,56.5,STANDARD
2026-06-23,KIRLOSENG,09:15,09:50,2494.1900000000005,2557.6,195,498732.0,2505.4,2766.38,4.0,"ADX-FILTER,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,GAP-CONT,PDH-PDL,REL-STR,VOL-SPIKE,VPOC,VWAP-REV",4,11.169,CAMARILLA,CAMARILLA: breakout above H4=2494.19,11:46,2505.4,STOP_HIT,LOSS,-10898.12,-2.19,56.5,STANDARD
2026-06-24,JSWSTEEL,09:20,09:25,1234.3,1232.1,405,499000.5,1238.8,1218.7,2.0,"DAILY-BIAS,DBL-TOP,DESC-TRI,FIRST-CANDLE",4,12.0,FIRST-CANDLE,FIRST-CANDLE: break below first candle low=1234.30,10:33,1238.8,STOP_HIT,LOSS,-3442.6,-0.69,60.2,HIGH
2026-06-24,VBL,10:30,10:35,507.6,507.05,986,499951.3,509.58,497.5,3.77,"BOLLINGER,CAMARILLA,DAILY-BIAS,INTRADAY-STRUCT,MACD,SUPERTREND",6,18.0,INTRADAY-STRUCT,LHLL downtrend: LH=508.60 LL=505.65,11:43,509.58,STOP_HIT,LOSS,-3224.85,-0.65,60.1,MEDIUM
2026-06-24,JSWSTEEL,09:20,11:46,1234.3,1239.1,403,499357.3,1245.8,1225.7,2.0,"ADX-FILTER,DAILY-BIAS,DBL-TOP,DESC-TRI,FIRST-CANDLE,MACD,STOCHASTIC,SUPERTREND",8,24.0,FIRST-CANDLE,FIRST-CANDLE: break below first candle low=1234.30,15:15,1236.6,TIME_EXIT,WIN,280.04,0.06,62.3,HIGH
